Marca temporal,Tipo de registro,Procedimiento o proceso en el que se le atendió,Servicios referidos (Detalle),"Detalles de la queja, sugerencia o felicitación",Departamento que lo atendió,Instancia,detalles_limpios,tokenizacion,lematizacion,stemming
10/23/2023 9:06:40,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo,Funcionan bien las computadoras solo falta que la red este un poco mejor.,,,funcionan computadoras falta red,"['funcionan', 'computadoras', 'falta', 'red']",funcionar computadora falta red,funcion comput falt red
11/30/2023 12:49:38,Felicitación,Préstamo de Equipo Informático,Buen computo,Felicidades ,,,felicidades,['felicidades'],felicidad,felic
12/19/2023 10:46:15,Queja,Auditoría Interna,Pretamos de computadoras,Las computadoras están muy lentas y ni siquiera están conectadas a un Internet estable.,,,computadoras lentas siquiera conectadas internet estable,"['computadoras', 'lentas', 'siquiera', 'conectadas', 'internet', 'estable']",computadora lenta siquiera conectadas internet estable,comput lent siqu conect internet establ
1/16/2024 12:17:52,Sugerencia,Reinscripción,.,.,,,,[],,
1/16/2024 12:49:40,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo ,El laboratorio esta en excelentes condiciones ,,,laboratorio excelentes condiciones,"['laboratorio', 'excelentes', 'condiciones']",laboratorio excelente condición,laboratori excelent condicion
1/16/2024 12:59:14,Sugerencia,Préstamo de Equipo Informático,Computadora ,Que no sean tan apáticos ,,,apaticos,['apaticos'],apatico,apat
1/16/2024 13:28:34,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Préstamo de equipo ,Buen servicio 🐕‍🦺,,,servicio 🐕‍🦺,"['servicio', '🐕\u200d🦺']",servicio 🐕 \u200d🦺,servici 🐕u200d🦺
1/16/2024 13:29:57,Felicitación,Servicio Social,Préstamo de equipo ,Ta bien ,,,ta,['ta'],ta,ta
1/16/2024 13:58:47,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo computacional ,Buen servicio,,,servicio,['servicio'],servicio,servici
1/16/2024 13:59:09,Felicitación,Tutorías,Tareas,Todo exelente ,,,exelente,['exelente'],exelente,exelent
1/16/2024 14:02:05,Sugerencia,Préstamo de Equipo Informático,Laboratorio uso libre,Las computadoras van lentas,,,computadoras lentas,"['computadoras', 'lentas']",computadora lenta,comput lent
1/16/2024 14:25:32,Felicitación,Servicio Social,Ok,Felicidades ,,,felicidades,['felicidades'],felicidad,felic
1/16/2024 14:30:18,Sugerencia,Préstamo de Equipo Informático,Préstamo de equipo , Que casi ningún equipo se puede prender ,,,ningun equipo prender,"['ningun', 'equipo', 'prender']",ningun equipo prender,ningun equip prend
1/16/2024 14:32:02,Sugerencia,Préstamo de Equipo Informático,Préstamo del aula 1103,Tener más contactos de luz para poder conectar en caso de traer lap,,,mas contactos luz conectar caso traer lap,"['mas', 'contactos', 'luz', 'conectar', 'caso', 'traer', 'lap']",contacto luz conectar caso traer lap,mas contact luz conect cas tra lap
1/16/2024 14:32:02,Felicitación,Préstamo de Equipo Informático,Uso de pc,Se agradece el uso de azure,,,agradece azure,"['agradece', 'azure']",agradecer azure,agradec azur
1/16/2024 14:51:44,Sugerencia,Préstamo de Equipo Informático,Equipo de cómputo ,Agregar lector de disco ,,,agregar lector disco,"['agregar', 'lector', 'disco']",agregar lector disco,agreg lector disc
1/16/2024 18:14:35,Felicitación,Préstamo de Equipo Informático,Prestamo,No,,,,[],,
1/16/2024 18:15:26,Felicitación,Control de Información Documentada,Udi,Todo bien ,,,,[],,
1/16/2024 18:17:25,Felicitación,Préstamo de Equipo Informático,Udi ,Todo bien,,,,[],,
1/17/2024 14:36:24,Sugerencia,Préstamo de Equipo Informático,Prestamo de equipo ,Verificar que el disco duro siempre está al 100%,,,verificar disco duro 100,"['verificar', 'disco', 'duro', '100']",verificar disco duro 100,verific disc dur 100
1/17/2024 14:36:44,Felicitación,Préstamo de Equipo Informático,Presta de equipo informático,Servicio eficiente ,,,servicio eficiente,"['servicio', 'eficiente']",servicio eficiente,servici eficient
1/17/2024 14:36:51,Felicitación,Préstamo de Equipo Informático,presta de equipo informático ,Me agradaron las computadora ,,,agradaron computadora,"['agradaron', 'computadora']",agradar computadoro,agrad comput
1/18/2024 14:55:50,Queja,Préstamo de Equipo Informático,Laboratorio de uso libre,No hay quemador de discos y se requiere para grabar la información en los discos que solicita la CATT para TT2,,,quemador discos requiere grabar informacion discos solicita catt tt2,"['quemador', 'discos', 'requiere', 'grabar', 'informacion', 'discos', 'solicita', 'catt', 'tt2']",quemador disco requerir grabar informacion disco solicitar catt tt2,quemador disc requier grab inform disc solicit catt tt2
2/22/2024 14:51:11,Felicitación,Préstamo de Equipo Informático,Prestación de computadora,La máquina no tenía internet,,,maquina tenia internet,"['maquina', 'tenia', 'internet']",maquina tenia internet,maquin teni internet
2/22/2024 14:53:56,Sugerencia,Préstamo de Equipo Informático,Préstamo de equipo informático,Simplemente que en el futuro puedan haber más máquinas con conexión de Internet. ,,,simplemente futuro puedan mas maquinas conexion internet,"['simplemente', 'futuro', 'puedan', 'mas', 'maquinas', 'conexion', 'internet']",simplemente futuro poder maquina conexion internet,simplement futur pued mas maquin conexion internet
3/8/2024 15:02:56,Sugerencia,Préstamo de Equipo Informático,Préstamo de equipo ,Que en el futuro haya más ordenadores con conexión de Internet ,,,futuro mas ordenadores conexion internet,"['futuro', 'mas', 'ordenadores', 'conexion', 'internet']",futuro ordenador conexion internet,futur mas orden conexion internet
3/13/2024 13:39:09,Sugerencia,Préstamo de Equipo Informático,Prestamo,.,,,,[],,
3/13/2024 14:44:15,Sugerencia,Préstamo de Equipo Informático,Préstamo de computadora,Que quizá en el futuro puedan haber más máquinas con conexión de Internet. Quizá también que se vigile que no vuelvan a robar equipo de cómputo. ,,,quiza futuro puedan mas maquinas conexion internet quiza tambien vigile vuelvan robar equipo computo,"['quiza', 'futuro', 'puedan', 'mas', 'maquinas', 'conexion', 'internet', 'quiza', 'tambien', 'vigile', 'vuelvan', 'robar', 'equipo', 'computo']",futuro poder maquina conexion internet vigile vuelvan robar equipo computo,quiz futur pued mas maquin conexion internet quiz tambi vigil vuelv rob equip comput
3/14/2024 14:47:43,Sugerencia,Gestión del Diseño Curricular de Programas Académicos,Laboratorio ,Algunas no tienen internet,,,internet,['internet'],internet,internet
3/20/2024 13:03:44,Queja,Trámite de Documentos de Gestión Escolar,"Inscripcion, solicitud de informacion","La mayoría del personal, no todos, pareciera que te hacen un favor cuando solicitas informacion ya sea en ventanilla o por vía telefonica. En mas de una ocasion se han limitado a decirme que la informacion se encuentra en la pagina, sin embargo, a veces he encontrado url a formularios vencidos o con informacion de semestres anteriores.",,,mayoria personal pareciera favor solicitas informacion ventanilla via telefonica mas ocasion limitado decirme informacion pagina encontrado url formularios vencidos informacion semestres anteriores,"['mayoria', 'personal', 'pareciera', 'favor', 'solicitas', 'informacion', 'ventanilla', 'via', 'telefonica', 'mas', 'ocasion', 'limitado', 'decirme', 'informacion', 'pagina', 'encontrado', 'url', 'formularios', 'vencidos', 'informacion', 'semestres', 'anteriores']",mayoria personal parecierar favor solicitar informacion ventanilla via telefonico ocasion limitar decir yo informacion pagina encontrar url formulario vencido informacion semestre anterior,mayori personal parec favor solicit inform ventanill via telefon mas ocasion limit dec inform pagin encontr url formulari venc inform semestr anterior
4/3/2024 9:01:10,Sugerencia,Gestión de la Encuesta del Desempeño Docente,Profesor,"Buen día me gustaría saber dónde puedo comunicarme con ustedes para poder postularme en ser catedrático soy experto en el área de análisis y vizualizadores de datos por más de 5 años dentro del mundo corporativo en las más importantes empresas de retrail como dando cursos nacional como internacional y busco mucho seguir compartiendo mi conocimientos
Quedó atento a su respuesta
Saludos ",,,dia gustaria comunicarme ustedes postularme catedratico experto area analisis vizualizadores datos mas 5 años mundo corporativo mas importantes empresas retrail dando cursos nacional internacional busco seguir compartiendo conocimientos quedo atento respuesta saludos,"['dia', 'gustaria', 'comunicarme', 'ustedes', 'postularme', 'catedratico', 'experto', 'area', 'analisis', 'vizualizadores', 'datos', 'mas', '5', 'años', 'mundo', 'corporativo', 'mas', 'importantes', 'empresas', 'retrail', 'dando', 'cursos', 'nacional', 'internacional', 'busco', 'seguir', 'compartiendo', 'conocimientos', 'quedo', 'atento', 'respuesta', 'saludos']",gustario comunicarme postularme catedratico experto area analisis vizualizadores dato 5 año mundo corporativo importante empresa retrail dar curso nacional internacional buscar seguir compartir conocimiento quedo atento respuesta saludos,dia gustari comunic usted postul catedrat expert are analisis vizualiz dat mas 5 años mund corpor mas import empres retrail dand curs nacional internacional busc segu compart conoc qued atent respuest salud
4/17/2024 10:14:07,Sugerencia,Control y Ejercicio de Recursos Excedentes,Revision,Queja,,,queja,['queja'],queja,quej
4/17/2024 12:03:50,Sugerencia,Gestión del Diseño Curricular de Programas Académicos,Computadora ,Ninguna ,,,,[],,
4/17/2024 13:02:10,Felicitación,Mantenimiento de la Infraestructura Física,Cómputo ,Felicitaciones,,,felicitaciones,['felicitaciones'],felicitación,felicit
4/17/2024 14:59:39,Felicitación,Préstamo de Equipo Informático,Laboratorio,Todo bien,,,,[],,
4/19/2024 16:12:20,Sugerencia,Mantenimiento de la Infraestructura Física,Laboratorio libre ,Pongan internet a las demás computadoras ,,,pongan internet demas computadoras,"['pongan', 'internet', 'demas', 'computadoras']",poner internet demas computadora,pong internet dem comput
4/22/2024 14:51:33,Felicitación,Gestión del Diseño Curricular de Programas Académicos,A,"A
A",,,,[],,
4/23/2024 16:48:54,Sugerencia,Préstamo de Equipo Informático,Computadoras ,Ojalá todas tuvieran internet y no tuviéramos que esperar hasta que se desocupen ,,,ojala internet tuvieramos esperar desocupen,"['ojala', 'internet', 'tuvieramos', 'esperar', 'desocupen']",ojala internet tuvierir esperar desocupir,ojal internet tuvier esper desocup
4/24/2024 11:24:56,Queja,Gestión del Diseño Curricular de Programas Académicos,Préstamo computadoras,Felicitacion,,,felicitacion,['felicitacion'],felicitacion,felicit
4/24/2024 11:25:32,Felicitación,Gestión del Diseño Curricular de Programas Académicos,F,Todo excelente ,,,excelente,['excelente'],excelente,excelent
4/24/2024 14:28:09,Sugerencia,Prácticas Académicas de Laboratorios y Talleres,Especificaciones ,Los,,,,[],,
4/24/2024 14:28:44,Sugerencia,Gestión del Diseño de Programas de Estudio,N,H,,,h,['h'],h,h
4/24/2024 14:47:19,Sugerencia,Préstamo de Equipo Informático,Préstamo de computadora,Que en el futuro en lo más posible pueda aumentar el número de computadoras con conexión de Internet. ,,,futuro mas aumentar numero computadoras conexion internet,"['futuro', 'mas', 'aumentar', 'numero', 'computadoras', 'conexion', 'internet']",futuro aumentar numero computadora conexion internet,futur mas aument numer comput conexion internet
4/25/2024 11:32:51,Queja,Préstamo de Equipo Informático,Salas de cómputo ,En la mayoría de computadoras no hay Internet ,,,mayoria computadoras internet,"['mayoria', 'computadoras', 'internet']",mayoria computadora internet,mayori comput internet
4/25/2024 14:57:01,Sugerencia,Gestión del Diseño de Programas de Estudio,Jdsj,Hhj,,,hhj,['hhj'],hhj,hhj
4/25/2024 18:07:43,Sugerencia,Gestión del Diseño Curricular de Programas Académicos,U,"D
",,,d,['d'],d,d
4/26/2024 15:35:14,Sugerencia,Préstamo de Equipo Informático,Computadora para tarea,"Le hace falta internet a las compus, así como alguno que otro programa necesario ",,,falta internet compus asi programa necesario,"['falta', 'internet', 'compus', 'asi', 'programa', 'necesario']",falta internet compus programa necesario,falt internet compus asi program necesari
4/30/2024 10:42:08,Queja,Préstamo de Equipo Informático,Una máquina ,No todas las máquinas tienen internet ,,,maquinas internet,"['maquinas', 'internet']",maquina internet,maquin internet
4/30/2024 11:53:53,Queja,Préstamo de Equipo Informático,Préstamo laboratorio libre ,Nº había Internet en las maquinas ,,,nº habia internet maquinas,"['nº', 'habia', 'internet', 'maquinas']",nº internet maquina,nº habi internet maquin
4/30/2024 11:54:13,Felicitación,Préstamo de Equipo Informático,Equipo de computación ,Buena atención ,,,atencion,['atencion'],atencion,atencion
4/30/2024 16:24:59,Sugerencia,Mantenimiento de la Infraestructura Física,Lab. Libre,Pongan internet a las ptras máquinas,,,pongan internet ptras maquinas,"['pongan', 'internet', 'ptras', 'maquinas']",poner internet ptra maquina,pong internet ptras maquin
5/2/2024 17:58:38,Felicitación,Gestión del Diseño Curricular de Programas Académicos,H,"I
J
",,,i j,"['i', 'j']",i j,i j
5/6/2024 18:14:03,Felicitación,Control de Información Documentada,Si,Ninguna,,,,[],,
5/7/2024 10:10:09,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Compu,Felicidades ,,,felicidades,['felicidades'],felicidad,felic
5/7/2024 10:10:21,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Computación ,Dan un buen servicio ,,,servicio,['servicio'],servicio,servici
5/9/2024 15:47:48,Queja,Préstamo de Equipo Informático,Computadora ,No hay internet ,,,internet,['internet'],internet,internet
5/9/2024 15:48:36,Sugerencia,Adjudicación Directa de Materiales y/o Servicios,Computadora ,No tenían internet ,,,tenian internet,"['tenian', 'internet']",teniar internet,teni internet
5/13/2024 10:40:48,Queja,Gestión para las Prácticas y/o Visitas Escolares,Lab de uso libre,No hay internet ,,,internet,['internet'],internet,internet
5/16/2024 9:56:24,Sugerencia,Préstamo de Equipo Informático,Computadora,La atención fue buena,,,atencion,['atencion'],atencion,atencion
5/16/2024 11:44:01,Sugerencia,Gestión de la Acreditación de Programas Académicos,N,L,,,l,['l'],l,l
5/16/2024 11:58:17,Felicitación,Control de Información Documentada,.,.,,,,[],,
5/16/2024 11:58:32,Sugerencia,Control de Información Documentada,Uso de laboratorio,No hay internet en todas las máquinas ,,,internet maquinas,"['internet', 'maquinas']",internet maquina,internet maquin
5/16/2024 13:41:05,Sugerencia,Gestión del Diseño Curricular de Programas Académicos,Uso de computadora.,El internet en las computadoras.,,,internet computadoras,"['internet', 'computadoras']",internet computadora,internet comput
5/16/2024 14:20:15,Sugerencia,Préstamo de Equipo Informático,Préstamos de computadoras ,Falta internet en las compus ,,,falta internet compus,"['falta', 'internet', 'compus']",falta internet compus,falt internet compus
5/20/2024 10:18:25,Sugerencia,Préstamo de Equipo Informático,Préstamo de equipo de computo,Algunas computadoras no tienen internet o no prenden ,,,computadoras internet prenden,"['computadoras', 'internet', 'prenden']",computadora internet prender,comput internet prend
5/20/2024 13:10:56,Felicitación,Préstamo de Equipo Informático,Udi,Buena atención,,,atencion,['atencion'],atencion,atencion
5/20/2024 13:11:59,Felicitación,Préstamo de Equipo Informático,UDI,todo bien,,,,[],,
5/21/2024 14:52:13,Sugerencia,Prácticas Académicas de Laboratorios y Talleres,Laboratorio ,Ninguno,,,,[],,
5/24/2024 16:07:59,Felicitación,Mantenimiento de la Infraestructura Física,Laboratorios,Felicitacion,,,felicitacion,['felicitacion'],felicitacion,felicit
5/27/2024 12:00:32,Felicitación,Préstamo de Equipo Informático,no,Felicitacion. Muy limpio,,,felicitacion limpio,"['felicitacion', 'limpio']",felicitacion limpio,felicit limpi
5/30/2024 15:07:05,Felicitación,Préstamo de Equipo Informático,Sala de uso general,Use una computadora con internet,,,use computadora internet,"['use', 'computadora', 'internet']",use computadoro internet,use comput internet
6/3/2024 15:12:54,Sugerencia,Préstamo de Equipo Informático,Préstamo de computadoras,Atención buena,,,atencion,['atencion'],atencion,atencion
6/3/2024 15:31:35,Felicitación,Préstamo de Equipo Informático,Uso de laboratorio para el Club de Algoritmia,Ninguna queja en absoluto. Todo fue fluido.,,,queja absoluto fluido,"['queja', 'absoluto', 'fluido']",queja absoluto fluir,quej absolut flu
6/4/2024 13:08:35,Queja,Préstamo de Equipo Informático,Empresa de equipo informativo,Ya es cansado hacer todo esto,,,cansado,['cansado'],cansado,cans
6/4/2024 16:01:30,Sugerencia,Gestión del Diseño de Programas de Estudio,..,..,,,,[],,
6/10/2024 10:28:48,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Tarea,Ninguna,,,,[],,
6/11/2024 13:37:52,Queja,Prácticas Académicas de Laboratorios y Talleres,Tgj,Hb,,,hb,['hb'],hb,hb
6/12/2024 13:18:39,Felicitación,Auditoría Interna,Equipo ,Felicitación ,,,felicitacion,['felicitacion'],felicitacion,felicit
6/12/2024 14:25:07,Felicitación,Préstamo de Equipo Informático,Prestamo,Buen servicio ,,,servicio,['servicio'],servicio,servici
6/13/2024 17:24:11,Sugerencia,Préstamo de Equipo Informático,Equipo de cómputo ,Mejor gestión en los cables de internet y su repartición ,,,gestion cables internet reparticion,"['gestion', 'cables', 'internet', 'reparticion']",gestion cables internet reparticion,gestion cabl internet reparticion
6/13/2024 17:24:20,Sugerencia,Préstamo de Equipo Informático,Equipo de conmputo ,Mejor gestión de internet ya que algunos equipos no cuentan con el mismo,,,gestion internet equipos cuentan,"['gestion', 'internet', 'equipos', 'cuentan']",gestion internet equipo contar,gestion internet equip cuent
6/14/2024 17:04:25,Felicitación,Prácticas Académicas de Laboratorios y Talleres,Uso de laboratorio ,Buena atención ,,,atencion,['atencion'],atencion,atencion
6/14/2024 17:48:07,Sugerencia,Actualización y Capacitación Docentes,K,L,,,l,['l'],l,l
6/14/2024 17:48:26,Sugerencia,Actualización y Capacitación Docentes,laboratorio ,no había internet ,,,habia internet,"['habia', 'internet']",internet,habi internet
6/14/2024 18:28:36,Felicitación,Control de Información Documentada,Documentación ,Felicitación ,,,felicitacion,['felicitacion'],felicitacion,felicit
6/18/2024 12:30:21,Felicitación,Préstamo de Equipo Informático,Laboratorio de usos múltiples ,Muy buena compu 👌 ,,,compu 👌,"['compu', '👌']",compu 👌,compu 👌
6/18/2024 18:10:12,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo ,.,,,,[],,
6/18/2024 18:22:38,Felicitación,Gestión del Diseño de Programas de Estudio,Servicio de préstamo de equipo informático,Deberían de conectar todas las computadoras a internet ,,,deberian conectar computadoras internet,"['deberian', 'conectar', 'computadoras', 'internet']",deberian conectar computadora internet,deberi conect comput internet
6/18/2024 18:23:50,Sugerencia,Gestión de la Movilidad Académica,Para qué la encuesta?,Mas internet en las compus,,,mas internet compus,"['mas', 'internet', 'compus']",internet compus,mas internet compus
6/19/2024 10:03:13,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Tarea,Ninguna ,,,,[],,
6/19/2024 10:21:46,Felicitación,Préstamo de Equipo Informático,Laboratorio de cómputo,Felicitación,,,felicitacion,['felicitacion'],felicitacion,felicit
6/19/2024 10:22:34,Felicitación,Préstamo de Equipo Informático,Computadora ,Todo bien ,,,,[],,
6/19/2024 10:22:36,Felicitación,Préstamo de Equipo Informático,Computadora,Felicidades,,,felicidades,['felicidades'],felicidad,felic
6/19/2024 12:19:55,Felicitación,Tutorías,Préstamo de computadora ,Equipo excelente ,,,equipo excelente,"['equipo', 'excelente']",equipo excelente,equip excelent
6/24/2024 9:45:21,Felicitación,Préstamo de Equipo Informático,prestamo de computadora ,buena atencion,,,atencion,['atencion'],atencion,atencion
6/25/2024 16:19:20,Queja,Gestión del Diseño de Programas de Estudio,Hahahha,Mala internet nefasto ,Subdirección Académica,,mala internet nefasto,"['mala', 'internet', 'nefasto']",malo internet nefasto,mal internet nefast
6/25/2024 16:19:38,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Uso de equipo de cómputo,"Felicidades, al final arreglaron las compis sin internet ",Departamento de Servicios Estudiantiles,,felicidades final arreglaron compis internet,"['felicidades', 'final', 'arreglaron', 'compis', 'internet']",felicidad arreglar compis internet,felic final arregl compis internet
6/25/2024 17:19:53,Felicitación,Concurso de Exámenes de Oposición de Cátedra,Lab,Ok,Unidad de Informática,,ok,['ok'],ok,ok
6/26/2024 10:04:26,Queja,Préstamo de Equipo Informático,Préstamo de computadora ,No tenía Internet la computadora ,Unidad de Informática,,tenia internet computadora,"['tenia', 'internet', 'computadora']",tenia internet computadoro,teni internet comput
6/26/2024 18:32:18,Sugerencia,Control y Ejercicio de Recursos Excedentes,Computo,Todo bien ,Departamento de Ciencias e Ingeniería de la Computación,,,[],,
6/27/2024 14:17:46,Felicitación,Gestión de la Evaluación Curricular de Programas Académicos,Laboratorio de uso libre,Me gusto,Unidad de Informática,,gusto,['gusto'],gusto,gust
6/27/2024 14:18:24,Sugerencia,Planeación Institucional,UDI,Las computadoras no tenían internet pero no fue buen servicio ,Unidad de Informática,,computadoras tenian internet servicio,"['computadoras', 'tenian', 'internet', 'servicio']",computadora teniar internet servicio,comput teni internet servici
7/1/2024 14:17:10,Felicitación,Gestión del Diseño de Programas de Estudio,Cómputo ,El internet es un poco malo ,Departamento de Ingeniería en Sistemas Computacionales,,internet malo,"['internet', 'malo']",internet malo,internet mal
7/1/2024 16:36:41,Felicitación,Préstamo de Equipo Informático,Pc,Buen servicio ,Unidad de Informática,,servicio,['servicio'],servicio,servici
7/3/2024 16:31:55,Sugerencia,Préstamo de Equipo Informático,Computadora ,Fijarse en el internet y la distribución de cables ethernet ,Unidad de Informática,,fijarse internet distribucion cables ethernet,"['fijarse', 'internet', 'distribucion', 'cables', 'ethernet']",fijar él internet distribucion cables ethernet,fij internet distribucion cabl ethernet
7/3/2024 16:32:18,Felicitación,Préstamo de Equipo Informático,Uso de computadoras ,Buen servicio ,Unidad de Informática,,servicio,['servicio'],servicio,servici
7/3/2024 18:14:14,Queja,Registro y Control de Bienes Muebles del Activo Fijo,H,Atención lenta,Departamento de Ciencias e Ingeniería de la Computación,,atencion lenta,"['atencion', 'lenta']",atencion lento,atencion lent
8/26/2024 16:30:51,Sugerencia,Préstamo de Equipo Informático,Computadoras ,Mejor internet ,Unidad de Informática,Unidad de Informática,internet,['internet'],internet,internet
8/26/2024 16:31:00,Sugerencia,Préstamo de Equipo Informático,Computadora,No hay internet en algunas máquinas ,Unidad de Informática,Unidad de Informática,internet maquinas,"['internet', 'maquinas']",internet maquina,internet maquin
8/27/2024 14:49:18,Felicitación,Préstamo de Equipo Informático,Prestar computadora ,Me gustó los equipos ,Unidad de Informática,Unidad de Informática,gusto equipos,"['gusto', 'equipos']",gusto equipo,gust equip
8/27/2024 18:07:19,Queja,Préstamo de Equipo Informático,Laboratorio,El chico siempre pide llenar la encuesta y me quita tiempo.,Unidad de Informática,Unidad de Informática,chico pide llenar encuesta quita,"['chico', 'pide', 'llenar', 'encuesta', 'quita']",chico pedir llenar encuesta quitar,chic pid llen encuest quit
8/27/2024 18:07:29,Felicitación,Uso de laboratorio ,Consulta de información en medios digitales,"Ninguna, todo bien ",Unidad de Informática,Unidad de Informática,,[],,
